Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_138494.3 491 483 0.406 0.381 0.418 0.466 0.360 0.391 0.189 0.191 0.318 0.214 0.165 0.198 0.344 0.448 0.291 0.253 0.196 0.193
NM_024876.4 544 524 0.633 0.750 0.578 0.673 0.467 0.759 0.145 0.267 0.145 0.311 0.224 0.366 0.182 0.267 0.096 0.362 0.243 0.393
NM_001008495.4 380 366 0.618 0.699 0.579 0.655 0.487 0.711 0.161 0.355 0.182 0.263 0.232 0.371 0.184 0.158 0.108 0.392 0.255 0.339
NM_152758.6 585 565 0.447 0.324 0.506 0.547 0.448 0.347 0.150 0.207 0.371 0.255 0.255 0.157 0.303 0.345 0.282 0.292 0.193 0.190
NM_015941.4 483 455 0.443 0.429 0.450 0.538 0.329 0.462 0.176 0.296 0.311 0.228 0.164 0.190 0.286 0.375 0.228 0.311 0.166 0.271
NM_024586.6 736 709 0.435 0.394 0.455 0.500 0.390 0.416 0.196 0.255 0.315 0.193 0.223 0.201 0.304 0.355 0.269 0.307 0.167 0.215
NM_006469.5 642 611 0.422 0.344 0.459 0.503 0.388 0.375 0.204 0.274 0.372 0.181 0.185 0.162 0.293 0.338 0.252 0.322 0.202 0.213
NM_015997.4 475 462 0.604 0.682 0.566 0.691 0.429 0.691 0.131 0.309 0.173 0.364 0.221 0.314 0.179 0.261 0.137 0.326 0.208 0.377
NM_005612.5 1097 1059 0.456 0.387 0.489 0.568 0.392 0.408 0.126 0.202 0.308 0.229 0.244 0.160 0.306 0.406 0.284 0.339 0.148 0.248
NM_002814.4 226 218 0.473 0.431 0.493 0.580 0.389 0.451 0.137 0.257 0.296 0.186 0.230 0.195 0.283 0.354 0.252 0.394 0.159 0.257
NM_014738.6 1356 1302 0.604 0.785 0.519 0.594 0.426 0.794 0.170 0.310 0.125 0.322 0.219 0.455 0.237 0.264 0.081 0.272 0.206 0.338
NM_007126.5 806 783 0.509 0.517 0.505 0.604 0.392 0.531 0.124 0.288 0.290 0.218 0.205 0.269 0.272 0.320 0.179 0.386 0.187 0.262
NM_006828.4 2202 2122 0.404 0.324 0.442 0.518 0.346 0.349 0.173 0.311 0.345 0.216 0.196 0.166 0.308 0.343 0.307 0.302 0.150 0.183
NM_020699.4 593 573 0.510 0.485 0.522 0.590 0.438 0.503 0.125 0.245 0.260 0.307 0.263 0.236 0.285 0.317 0.238 0.283 0.175 0.266
NM_016072.5 138 131 0.370 0.305 0.399 0.449 0.319 0.341 0.268 0.536 0.333 0.123 0.123 0.203 0.283 0.145 0.326 0.326 0.196 0.138
NM_004818.3 820 797 0.528 0.582 0.503 0.595 0.396 0.594 0.122 0.213 0.217 0.251 0.188 0.261 0.283 0.390 0.189 0.344 0.209 0.333
NM_015483.3 623 590 0.418 0.347 0.450 0.485 0.387 0.382 0.226 0.292 0.339 0.183 0.218 0.165 0.289 0.321 0.279 0.302 0.169 0.217
NM_004146.6 137 129 0.659 0.907 0.546 0.693 0.372 0.912 0.124 0.241 0.029 0.365 0.161 0.409 0.182 0.387 0.058 0.328 0.212 0.504
NM_016021.3 318 309 0.458 0.382 0.495 0.528 0.447 0.399 0.201 0.242 0.283 0.233 0.277 0.198 0.270 0.311 0.318 0.296 0.170 0.201
NM_015983.4 147 141 0.512 0.596 0.473 0.503 0.422 0.612 0.204 0.259 0.218 0.252 0.272 0.354 0.293 0.320 0.170 0.252 0.150 0.259
NM_021930.6 792 757 0.412 0.357 0.437 0.521 0.328 0.385 0.201 0.331 0.333 0.241 0.202 0.159 0.278 0.341 0.282 0.280 0.126 0.226
NM_001114600.3 152 150 0.586 0.693 0.533 0.586 0.474 0.697 0.072 0.184 0.118 0.270 0.250 0.388 0.342 0.342 0.184 0.316 0.224 0.309
NM_003470.3 1102 1056 0.433 0.432 0.433 0.531 0.312 0.456 0.181 0.280 0.285 0.217 0.159 0.196 0.289 0.407 0.260 0.314 0.153 0.260
NM_017748.5 425 407 0.514 0.609 0.469 0.515 0.400 0.626 0.134 0.181 0.165 0.224 0.181 0.233 0.351 0.419 0.209 0.292 0.219 0.393
NM_014239.4 351 338 0.536 0.621 0.495 0.573 0.399 0.635 0.137 0.308 0.208 0.225 0.236 0.316 0.291 0.293 0.157 0.348 0.162 0.319
NM_003791.4 1052 1001 0.519 0.569 0.496 0.542 0.425 0.590 0.180 0.277 0.237 0.229 0.225 0.304 0.279 0.298 0.173 0.313 0.200 0.286
NM_014860.3 414 400 0.523 0.532 0.518 0.606 0.413 0.548 0.145 0.249 0.287 0.297 0.239 0.263 0.249 0.338 0.164 0.309 0.174 0.285
NM_006392.4 594 581 0.516 0.613 0.470 0.551 0.377 0.621 0.143 0.268 0.200 0.217 0.214 0.283 0.306 0.355 0.178 0.333 0.163 0.338
NM_174913.3 636 626 0.580 0.597 0.572 0.681 0.456 0.604 0.154 0.288 0.234 0.322 0.248 0.248 0.165 0.256 0.162 0.358 0.208 0.355
NM_004229.4 1454 1400 0.464 0.388 0.500 0.552 0.431 0.411 0.174 0.292 0.320 0.283 0.275 0.196 0.274 0.277 0.269 0.268 0.155 0.215
NM_001618.4 1014 976 0.513 0.634 0.455 0.527 0.364 0.648 0.158 0.257 0.195 0.188 0.205 0.308 0.316 0.379 0.157 0.338 0.159 0.340
NM_015904.4 1220 1193 0.394 0.313 0.433 0.548 0.305 0.329 0.110 0.224 0.295 0.156 0.174 0.109 0.342 0.471 0.376 0.393 0.131 0.220
NM_001012643.4 399 393 0.706 0.748 0.685 0.739 0.627 0.752 0.105 0.170 0.100 0.404 0.426 0.378 0.155 0.203 0.148 0.336 0.201 0.373
NM_145255.4 261 251 0.590 0.725 0.526 0.651 0.383 0.736 0.103 0.333 0.153 0.383 0.226 0.360 0.245 0.284 0.111 0.268 0.157 0.375
NM_016047.4 125 121 0.408 0.421 0.402 0.456 0.328 0.440 0.168 0.264 0.280 0.160 0.192 0.176 0.376 0.408 0.280 0.296 0.136 0.264
NM_025078.5 271 255 0.641 0.882 0.530 0.620 0.413 0.889 0.177 0.354 0.077 0.292 0.236 0.472 0.203 0.232 0.033 0.328 0.177 0.417
NM_006802.4 501 484 0.465 0.502 0.447 0.547 0.329 0.519 0.174 0.230 0.261 0.226 0.170 0.226 0.279 0.441 0.220 0.321 0.160 0.293
NM_002061.4 274 264 0.459 0.432 0.471 0.540 0.383 0.453 0.186 0.281 0.274 0.237 0.230 0.197 0.274 0.336 0.274 0.303 0.153 0.255
NM_024541.3 689 658 0.451 0.512 0.422 0.502 0.316 0.534 0.183 0.347 0.264 0.226 0.187 0.261 0.315 0.337 0.202 0.276 0.129 0.273
NM_014071.5 2063 1968 0.514 0.455 0.542 0.586 0.476 0.480 0.129 0.220 0.263 0.337 0.333 0.218 0.285 0.304 0.256 0.248 0.143 0.262
NM_152766.5 113 110 0.605 0.682 0.568 0.593 0.531 0.690 0.257 0.283 0.150 0.239 0.310 0.416 0.150 0.186 0.159 0.354 0.221 0.274
NM_018141.4 201 194 0.418 0.366 0.443 0.517 0.348 0.388 0.194 0.294 0.279 0.199 0.204 0.164 0.289 0.358 0.333 0.318 0.144 0.224
NM_014041.5 102 95 0.451 0.432 0.460 0.510 0.373 0.471 0.206 0.314 0.304 0.255 0.206 0.167 0.284 0.314 0.225 0.255 0.167 0.304
NM_002496.4 210 201 0.630 0.811 0.545 0.590 0.481 0.819 0.157 0.229 0.124 0.262 0.257 0.462 0.252 0.290 0.057 0.329 0.224 0.357
NM_004728.4 783 766 0.447 0.401 0.470 0.536 0.392 0.414 0.139 0.231 0.271 0.194 0.212 0.171 0.324 0.377 0.315 0.342 0.180 0.243
NM_152608.4 451 435 0.512 0.474 0.531 0.603 0.441 0.492 0.126 0.213 0.237 0.204 0.217 0.188 0.271 0.346 0.271 0.399 0.224 0.304
NM_006263.4 249 242 0.510 0.653 0.442 0.590 0.277 0.663 0.112 0.285 0.205 0.237 0.161 0.269 0.297 0.438 0.133 0.353 0.116 0.394
NM_017842.3 146 136 0.632 0.882 0.520 0.541 0.466 0.890 0.247 0.384 0.068 0.240 0.240 0.596 0.212 0.151 0.041 0.301 0.226 0.295
NM_004046.6 553 541 0.479 0.421 0.506 0.580 0.421 0.434 0.165 0.300 0.378 0.192 0.248 0.197 0.255 0.278 0.188 0.389 0.174 0.237
NM_017853.3 149 145 0.398 0.393 0.401 0.490 0.295 0.409 0.174 0.342 0.369 0.195 0.174 0.195 0.336 0.362 0.221 0.295 0.121 0.215
NM_001357.5 1270 1228 0.448 0.365 0.487 0.547 0.409 0.386 0.168 0.272 0.350 0.206 0.206 0.196 0.285 0.318 0.265 0.342 0.203 0.190
NM_019045.5 913 891 0.412 0.295 0.469 0.514 0.411 0.312 0.174 0.233 0.356 0.177 0.254 0.150 0.312 0.356 0.332 0.336 0.157 0.162
NM_005702.4 437 422 0.555 0.642 0.513 0.609 0.400 0.654 0.156 0.307 0.195 0.297 0.229 0.325 0.236 0.293 0.151 0.311 0.172 0.330
NM_022470.4 289 278 0.513 0.500 0.520 0.567 0.453 0.519 0.183 0.204 0.287 0.280 0.270 0.201 0.249 0.343 0.194 0.287 0.183 0.318
NM_005007.4 381 365 0.651 0.663 0.645 0.738 0.538 0.677 0.129 0.160 0.163 0.357 0.262 0.325 0.134 0.302 0.160 0.381 0.276 0.352
NM_014043.4 213 198 0.388 0.298 0.429 0.484 0.333 0.347 0.117 0.268 0.282 0.155 0.239 0.108 0.399 0.399 0.371 0.329 0.094 0.239
NM_004930.5 272 261 0.507 0.609 0.459 0.537 0.360 0.625 0.165 0.265 0.202 0.210 0.176 0.305 0.298 0.375 0.173 0.327 0.184 0.320
NM_001668.4 789 761 0.510 0.486 0.522 0.550 0.477 0.504 0.177 0.227 0.275 0.253 0.283 0.259 0.272 0.297 0.221 0.297 0.194 0.246
NM_001040445.3 335 329 0.600 0.690 0.556 0.648 0.457 0.696 0.149 0.275 0.179 0.296 0.206 0.376 0.203 0.269 0.125 0.352 0.251 0.319
NM_006409.4 370 348 0.514 0.580 0.483 0.500 0.435 0.605 0.186 0.268 0.246 0.197 0.211 0.346 0.314 0.297 0.149 0.303 0.224 0.259
NM_002227.4 1154 1105 0.479 0.576 0.433 0.503 0.338 0.594 0.173 0.278 0.226 0.216 0.171 0.301 0.323 0.384 0.179 0.288 0.167 0.294
NM_016466.6 183 179 0.638 0.743 0.586 0.667 0.497 0.749 0.131 0.213 0.142 0.317 0.246 0.393 0.202 0.290 0.109 0.350 0.251 0.355
NM_022731.5 243 237 0.455 0.371 0.496 0.576 0.403 0.387 0.119 0.095 0.272 0.169 0.259 0.136 0.305 0.502 0.342 0.407 0.144 0.251
NM_032339.5 115 114 0.600 0.728 0.537 0.626 0.443 0.730 0.122 0.261 0.157 0.217 0.217 0.357 0.252 0.296 0.113 0.409 0.226 0.374
NM_144628.4 403 386 0.548 0.627 0.510 0.625 0.375 0.643 0.141 0.320 0.186 0.298 0.218 0.305 0.233 0.305 0.171 0.328 0.156 0.337
NM_080822.3 227 223 0.645 0.726 0.605 0.692 0.511 0.731 0.185 0.278 0.150 0.326 0.273 0.379 0.123 0.211 0.119 0.366 0.238 0.352
NM_020680.4 808 774 0.614 0.748 0.552 0.623 0.462 0.759 0.139 0.238 0.125 0.267 0.259 0.418 0.239 0.301 0.116 0.355 0.203 0.340
NM_024942.4 445 429 0.446 0.438 0.449 0.494 0.384 0.458 0.198 0.274 0.312 0.216 0.211 0.218 0.308 0.342 0.229 0.279 0.173 0.240
NM_013328.4 320 310 0.600 0.726 0.540 0.619 0.447 0.734 0.113 0.316 0.131 0.247 0.269 0.384 0.269 0.237 0.134 0.372 0.178 0.350
NM_015246.4 576 569 0.619 0.791 0.535 0.613 0.451 0.793 0.158 0.238 0.113 0.288 0.271 0.484 0.229 0.311 0.094 0.325 0.181 0.309
NM_020695.4 1221 1208 0.671 0.837 0.589 0.636 0.537 0.839 0.135 0.178 0.085 0.282 0.305 0.468 0.229 0.285 0.076 0.355 0.233 0.371
NM_032366.5 204 194 0.655 0.866 0.557 0.657 0.436 0.873 0.123 0.294 0.044 0.324 0.230 0.451 0.221 0.270 0.083 0.333 0.206 0.422
NM_006191.3 394 381 0.472 0.488 0.464 0.563 0.348 0.505 0.132 0.266 0.259 0.180 0.208 0.231 0.305 0.386 0.236 0.383 0.140 0.274
NM_000286.3 359 343 0.473 0.434 0.490 0.557 0.401 0.460 0.214 0.306 0.318 0.281 0.253 0.212 0.228 0.292 0.223 0.276 0.148 0.248
NM_173475.4 304 293 0.532 0.597 0.501 0.539 0.444 0.612 0.191 0.224 0.194 0.201 0.211 0.306 0.270 0.332 0.194 0.339 0.234 0.306
NM_004640.7 428 413 0.510 0.622 0.457 0.591 0.304 0.636 0.154 0.332 0.255 0.241 0.164 0.285 0.255 0.364 0.110 0.350 0.140 0.350
NM_001013845.2 158 153 0.536 0.595 0.508 0.608 0.392 0.608 0.139 0.310 0.215 0.266 0.184 0.266 0.253 0.297 0.177 0.342 0.209 0.342
NM_032857.5 547 524 0.473 0.437 0.490 0.548 0.410 0.461 0.176 0.260 0.280 0.196 0.225 0.199 0.276 0.331 0.260 0.353 0.185 0.261
NM_012192.4 103 99 0.615 0.697 0.576 0.718 0.417 0.709 0.146 0.262 0.175 0.388 0.223 0.359 0.136 0.320 0.117 0.330 0.194 0.350
NM_020232.5 264 251 0.428 0.347 0.466 0.492 0.413 0.379 0.205 0.318 0.341 0.231 0.223 0.201 0.303 0.269 0.280 0.261 0.189 0.178
NM_017712.4 209 203 0.574 0.734 0.498 0.593 0.388 0.742 0.167 0.282 0.129 0.230 0.191 0.373 0.239 0.330 0.129 0.364 0.196 0.368
NM_006184.6 461 449 0.606 0.759 0.532 0.735 0.317 0.766 0.067 0.245 0.132 0.364 0.178 0.295 0.197 0.438 0.102 0.371 0.139 0.471
NM_021982.3 1093 1062 0.446 0.356 0.488 0.522 0.441 0.374 0.213 0.282 0.342 0.272 0.293 0.192 0.265 0.277 0.284 0.250 0.148 0.182
NM_017824.5 278 263 0.429 0.297 0.490 0.532 0.421 0.335 0.194 0.320 0.345 0.205 0.216 0.144 0.273 0.259 0.320 0.327 0.205 0.191
NM_016480.5 127 119 0.402 0.336 0.431 0.559 0.268 0.378 0.134 0.276 0.339 0.197 0.118 0.181 0.307 0.457 0.283 0.362 0.150 0.197
NM_153365.3 567 548 0.449 0.469 0.440 0.492 0.369 0.487 0.210 0.337 0.275 0.203 0.196 0.247 0.298 0.295 0.238 0.289 0.173 0.240
NM_013442.3 356 345 0.569 0.600 0.555 0.652 0.444 0.612 0.107 0.275 0.205 0.256 0.270 0.298 0.242 0.281 0.183 0.396 0.174 0.315
NM_014230.4 627 613 0.506 0.556 0.481 0.573 0.378 0.566 0.156 0.258 0.231 0.236 0.188 0.281 0.271 0.364 0.203 0.337 0.190 0.285
NM_014329.5 1401 1362 0.596 0.669 0.560 0.642 0.466 0.678 0.125 0.252 0.194 0.317 0.264 0.348 0.233 0.282 0.128 0.325 0.202 0.330
NM_014889.4 1037 1000 0.509 0.577 0.477 0.544 0.392 0.592 0.175 0.274 0.226 0.256 0.225 0.307 0.282 0.335 0.182 0.288 0.167 0.285
NM_145080.4 266 255 0.509 0.682 0.427 0.496 0.335 0.695 0.180 0.286 0.173 0.203 0.169 0.327 0.323 0.380 0.132 0.293 0.165 0.368
NM_144598.5 367 358 0.476 0.508 0.460 0.556 0.351 0.520 0.213 0.343 0.286 0.327 0.191 0.232 0.232 0.305 0.193 0.229 0.161 0.289
NM_003262.4 399 386 0.412 0.363 0.435 0.521 0.331 0.383 0.150 0.216 0.271 0.150 0.170 0.153 0.328 0.454 0.346 0.371 0.160 0.231
NM_004781.4 100 93 0.473 0.495 0.464 0.510 0.380 0.530 0.150 0.320 0.250 0.160 0.210 0.230 0.340 0.300 0.220 0.350 0.170 0.300
NM_014755.3 314 304 0.564 0.671 0.513 0.535 0.475 0.682 0.182 0.236 0.178 0.245 0.341 0.398 0.283 0.290 0.140 0.290 0.134 0.283
NM_002714.4 940 909 0.570 0.497 0.604 0.676 0.520 0.514 0.084 0.188 0.273 0.318 0.251 0.272 0.240 0.291 0.213 0.357 0.269 0.241
NM_002106.4 128 127 0.518 0.480 0.537 0.602 0.469 0.484 0.109 0.242 0.281 0.227 0.266 0.242 0.289 0.289 0.234 0.375 0.203 0.242
NM_001697.3 213 207 0.471 0.464 0.475 0.521 0.413 0.479 0.174 0.319 0.286 0.192 0.263 0.225 0.305 0.268 0.235 0.329 0.150 0.254
NM_015160.3 525 503 0.558 0.650 0.515 0.581 0.429 0.665 0.158 0.299 0.192 0.236 0.238 0.312 0.261 0.272 0.143 0.345 0.190 0.352
NM_018259.6 1141 1100 0.464 0.455 0.469 0.555 0.364 0.474 0.171 0.269 0.270 0.250 0.206 0.240 0.274 0.367 0.256 0.305 0.158 0.234
NM_016440.4 474 460 0.553 0.676 0.495 0.523 0.451 0.686 0.196 0.243 0.179 0.266 0.243 0.346 0.281 0.306 0.135 0.257 0.209 0.340
NM_018202.6 664 641 0.453 0.491 0.434 0.509 0.340 0.509 0.161 0.276 0.211 0.227 0.185 0.261 0.330 0.384 0.280 0.282 0.155 0.248
NM_015963.6 577 561 0.605 0.740 0.540 0.565 0.503 0.747 0.153 0.203 0.120 0.260 0.291 0.388 0.282 0.295 0.133 0.305 0.211 0.359
NM_005809.6 198 195 0.567 0.713 0.496 0.591 0.394 0.717 0.172 0.293 0.197 0.202 0.212 0.419 0.237 0.313 0.086 0.389 0.182 0.298
NM_032486.4 182 179 0.474 0.531 0.447 0.516 0.368 0.538 0.198 0.341 0.269 0.192 0.159 0.280 0.286 0.291 0.192 0.324 0.209 0.258
NM_007114.3 1093 1066 0.408 0.312 0.454 0.524 0.370 0.329 0.154 0.230 0.297 0.193 0.233 0.121 0.322 0.401 0.373 0.331 0.136 0.209
NM_021937.5 596 579 0.597 0.769 0.514 0.601 0.414 0.775 0.131 0.302 0.122 0.279 0.245 0.396 0.268 0.284 0.102 0.322 0.169 0.379
NM_001105537.3 1687 1658 0.588 0.639 0.563 0.630 0.488 0.645 0.162 0.182 0.200 0.340 0.266 0.361 0.207 0.330 0.155 0.290 0.222 0.284
NM_014014.5 2136 2055 0.525 0.644 0.469 0.580 0.338 0.657 0.140 0.308 0.215 0.261 0.186 0.318 0.279 0.355 0.128 0.319 0.152 0.339
NM_015360.5 1042 1001 0.396 0.295 0.444 0.520 0.346 0.322 0.174 0.301 0.348 0.176 0.192 0.136 0.306 0.352 0.329 0.345 0.155 0.186
NM_003884.5 832 806 0.480 0.475 0.482 0.531 0.416 0.492 0.174 0.254 0.236 0.228 0.238 0.256 0.294 0.331 0.273 0.303 0.178 0.236
NM_014216.6 414 403 0.611 0.851 0.496 0.582 0.396 0.855 0.143 0.297 0.077 0.249 0.220 0.483 0.275 0.307 0.068 0.333 0.176 0.372
NM_005805.6 310 289 0.426 0.356 0.457 0.548 0.329 0.400 0.158 0.329 0.329 0.190 0.181 0.132 0.294 0.342 0.271 0.358 0.148 0.268
NM_033177.4 356 341 0.610 0.604 0.612 0.654 0.553 0.621 0.112 0.180 0.177 0.281 0.289 0.275 0.233 0.267 0.202 0.374 0.264 0.346
NM_018359.4 469 446 0.413 0.339 0.447 0.507 0.360 0.371 0.183 0.305 0.330 0.224 0.198 0.164 0.309 0.335 0.299 0.284 0.162 0.207
NM_014008.5 627 614 0.623 0.735 0.568 0.711 0.416 0.740 0.097 0.263 0.166 0.365 0.233 0.333 0.191 0.321 0.094 0.346 0.183 0.407
NM_024653.4 184 175 0.542 0.583 0.523 0.609 0.413 0.603 0.092 0.179 0.147 0.266 0.239 0.196 0.299 0.408 0.250 0.342 0.174 0.408
NM_152716.3 770 742 0.493 0.420 0.527 0.629 0.409 0.442 0.123 0.270 0.300 0.342 0.236 0.197 0.248 0.321 0.258 0.287 0.173 0.244
NM_004128.3 249 243 0.420 0.362 0.448 0.538 0.345 0.378 0.165 0.245 0.253 0.197 0.189 0.157 0.297 0.410 0.369 0.341 0.157 0.221
NM_014267.6 183 177 0.437 0.288 0.508 0.612 0.388 0.311 0.148 0.142 0.355 0.169 0.197 0.142 0.240 0.470 0.333 0.443 0.191 0.169
NM_005415.5 679 644 0.477 0.464 0.482 0.517 0.421 0.492 0.199 0.340 0.303 0.172 0.230 0.259 0.284 0.239 0.205 0.345 0.191 0.233
NM_197964.5 113 111 0.599 0.640 0.579 0.664 0.487 0.646 0.186 0.230 0.230 0.336 0.239 0.310 0.150 0.283 0.124 0.327 0.248 0.336
NM_006464.4 437 435 0.564 0.616 0.538 0.577 0.497 0.618 0.124 0.117 0.208 0.206 0.339 0.297 0.300 0.387 0.174 0.371 0.158 0.320
NM_020444.5 305 292 0.555 0.562 0.552 0.587 0.498 0.580 0.128 0.203 0.203 0.282 0.334 0.302 0.285 0.298 0.216 0.305 0.164 0.279
NM_005652.5 542 520 0.554 0.581 0.541 0.594 0.469 0.598 0.120 0.212 0.186 0.232 0.266 0.253 0.286 0.319 0.216 0.362 0.203 0.345
NM_145253.3 177 165 0.669 0.800 0.609 0.616 0.576 0.814 0.141 0.169 0.090 0.350 0.441 0.492 0.243 0.254 0.096 0.266 0.136 0.322
NM_001080849.3 178 172 0.700 0.820 0.644 0.685 0.590 0.826 0.124 0.191 0.112 0.292 0.287 0.365 0.191 0.219 0.062 0.393 0.303 0.461
NM_005898.5 709 689 0.491 0.425 0.522 0.606 0.425 0.441 0.152 0.196 0.283 0.285 0.268 0.181 0.241 0.379 0.275 0.322 0.157 0.261
NM_004824.4 544 523 0.512 0.591 0.474 0.500 0.428 0.607 0.151 0.256 0.197 0.171 0.235 0.296 0.349 0.316 0.197 0.329 0.193 0.311
NM_001005920.4 264 255 0.655 0.820 0.577 0.629 0.511 0.826 0.216 0.250 0.098 0.292 0.299 0.451 0.155 0.239 0.076 0.337 0.212 0.375
NM_018036.7 2078 2011 0.435 0.360 0.471 0.522 0.402 0.380 0.211 0.282 0.338 0.225 0.250 0.171 0.267 0.315 0.282 0.297 0.153 0.209
NM_016311.5 106 101 0.541 0.564 0.530 0.651 0.387 0.585 0.104 0.208 0.179 0.236 0.170 0.208 0.245 0.406 0.236 0.415 0.217 0.377
NM_004604.5 297 289 0.557 0.768 0.455 0.593 0.303 0.774 0.084 0.300 0.125 0.253 0.152 0.296 0.323 0.397 0.101 0.340 0.152 0.478
NM_007348.4 670 647 0.450 0.396 0.475 0.519 0.413 0.416 0.164 0.263 0.312 0.248 0.276 0.175 0.316 0.324 0.272 0.272 0.137 0.242
NM_021826.5 764 734 0.454 0.456 0.453 0.520 0.364 0.478 0.215 0.326 0.302 0.242 0.196 0.217 0.266 0.310 0.220 0.277 0.168 0.260
NM_001663.4 175 166 0.562 0.777 0.462 0.531 0.366 0.789 0.154 0.297 0.114 0.223 0.183 0.423 0.314 0.337 0.097 0.309 0.183 0.366
NM_024954.5 227 220 0.645 0.814 0.564 0.665 0.449 0.819 0.106 0.216 0.088 0.352 0.233 0.405 0.229 0.335 0.093 0.313 0.216 0.414
NM_181575.5 410 398 0.576 0.621 0.555 0.634 0.463 0.632 0.173 0.315 0.198 0.334 0.273 0.317 0.193 0.222 0.171 0.300 0.190 0.315
NM_030577.3 311 300 0.608 0.683 0.572 0.627 0.502 0.695 0.190 0.293 0.161 0.289 0.286 0.386 0.183 0.206 0.145 0.338 0.215 0.309
NM_020944.3 927 866 0.552 0.580 0.539 0.605 0.442 0.607 0.174 0.256 0.228 0.268 0.210 0.300 0.221 0.302 0.165 0.338 0.232 0.307
NM_007065.4 378 358 0.592 0.824 0.485 0.624 0.317 0.833 0.114 0.238 0.085 0.235 0.138 0.376 0.262 0.444 0.082 0.389 0.180 0.458
NM_031209.3 403 383 0.629 0.791 0.554 0.618 0.469 0.801 0.136 0.290 0.127 0.280 0.248 0.409 0.246 0.241 0.072 0.337 0.221 0.392
NM_015104.3 1938 1886 0.638 0.769 0.575 0.674 0.464 0.775 0.144 0.272 0.128 0.344 0.267 0.405 0.182 0.264 0.096 0.330 0.197 0.370
NM_016091.4 564 541 0.487 0.628 0.421 0.521 0.296 0.644 0.202 0.293 0.245 0.248 0.168 0.346 0.277 0.411 0.112 0.273 0.128 0.298
NM_006038.4 520 508 0.601 0.776 0.516 0.550 0.471 0.781 0.202 0.223 0.129 0.283 0.267 0.450 0.248 0.306 0.090 0.267 0.204 0.331
NM_032811.3 411 402 0.504 0.498 0.508 0.582 0.423 0.509 0.146 0.243 0.287 0.273 0.248 0.217 0.273 0.333 0.204 0.309 0.175 0.292
NM_015509.4 275 268 0.518 0.507 0.522 0.545 0.487 0.520 0.189 0.233 0.280 0.215 0.298 0.291 0.265 0.280 0.200 0.331 0.189 0.229
NM_018060.4 1012 964 0.444 0.372 0.477 0.521 0.408 0.402 0.202 0.276 0.343 0.201 0.236 0.163 0.278 0.316 0.255 0.320 0.172 0.239
NM_024835.5 697 676 0.431 0.362 0.464 0.518 0.393 0.382 0.184 0.228 0.330 0.205 0.168 0.168 0.298 0.379 0.288 0.313 0.225 0.214
NM_004813.3 336 321 0.628 0.801 0.547 0.658 0.417 0.810 0.155 0.321 0.119 0.378 0.205 0.348 0.188 0.262 0.071 0.280 0.211 0.461
NM_007051.3 650 623 0.448 0.385 0.477 0.548 0.385 0.411 0.180 0.278 0.291 0.215 0.229 0.186 0.272 0.337 0.298 0.332 0.155 0.225
NM_016222.4 622 599 0.581 0.735 0.509 0.625 0.375 0.744 0.111 0.283 0.130 0.272 0.191 0.373 0.264 0.342 0.125 0.354 0.183 0.371
NM_022553.6 723 702 0.533 0.591 0.505 0.625 0.371 0.603 0.144 0.315 0.234 0.285 0.207 0.267 0.231 0.314 0.163 0.340 0.163 0.336
NM_015466.4 1636 1590 0.624 0.719 0.578 0.686 0.459 0.727 0.125 0.246 0.155 0.367 0.304 0.367 0.189 0.295 0.118 0.318 0.155 0.359
NM_013337.4 194 187 0.562 0.567 0.559 0.577 0.526 0.582 0.175 0.247 0.263 0.160 0.278 0.278 0.247 0.227 0.155 0.418 0.247 0.304
NM_138802.3 257 251 0.573 0.562 0.579 0.611 0.537 0.572 0.179 0.175 0.237 0.304 0.296 0.311 0.210 0.288 0.191 0.307 0.241 0.261
NM_025196.4 217 214 0.530 0.640 0.476 0.599 0.346 0.645 0.138 0.267 0.171 0.230 0.207 0.226 0.263 0.387 0.184 0.369 0.138 0.419
NM_198551.4 1907 1849 0.441 0.357 0.481 0.577 0.370 0.377 0.143 0.224 0.295 0.217 0.234 0.153 0.280 0.406 0.329 0.360 0.136 0.223
NM_014753.4 1282 1238 0.460 0.456 0.462 0.556 0.349 0.474 0.141 0.249 0.274 0.204 0.183 0.193 0.303 0.402 0.252 0.352 0.166 0.282
NM_022476.4 292 281 0.443 0.363 0.481 0.527 0.414 0.387 0.195 0.264 0.329 0.233 0.271 0.171 0.277 0.322 0.284 0.295 0.144 0.216
NM_144638.3 159 148 0.614 0.736 0.559 0.553 0.535 0.755 0.226 0.321 0.151 0.233 0.296 0.421 0.220 0.145 0.094 0.321 0.239 0.333
NM_015110.4 1101 1070 0.387 0.333 0.413 0.493 0.316 0.351 0.159 0.271 0.299 0.204 0.171 0.142 0.348 0.413 0.350 0.289 0.145 0.210
NM_005875.3 113 112 0.428 0.438 0.423 0.549 0.292 0.442 0.133 0.283 0.336 0.212 0.159 0.230 0.319 0.425 0.221 0.336 0.133 0.212
NM_004565.3 377 369 0.610 0.751 0.542 0.639 0.435 0.756 0.125 0.218 0.127 0.284 0.260 0.347 0.236 0.347 0.117 0.355 0.175 0.408
NM_001959.4 225 218 0.468 0.427 0.488 0.600 0.360 0.444 0.156 0.244 0.276 0.160 0.209 0.213 0.244 0.396 0.280 0.440 0.151 0.231
